\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084461,cer451q1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084462,oxldl1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084463,f81c
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084464,egfr1c
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084465,renins1c
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00084481,abi1c
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Demographics and Risk Scores\,phv00160487,mtsy031c
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084466,rbrach1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084467,rdpedis1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084468,rptib1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084469,lptib1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084470,ldpedis1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084471,lbrach1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084472,aabpcmp1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084473,rluoccl1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084474,rlulcer1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084475,rulocpt1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084476,lluoccl1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084477,llulcer1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084478,lulocdp1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084479,lulocpt1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Ankle-Arm Blood Pressure\,phv00084480,rulocdp1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Anthropometry\,phv00084482,htcm1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Anthropometry\,phv00084483,htmodp1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Anthropometry\,phv00084484,wtlb1
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\Anthropometry\,phv00084485,wtmodp1
