\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Sociodemography\,phv00258677,Census_Region
\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Sociodemography\,phv00258682,Farming
\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Sociodemography\,phv00258679,Gender
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258663,SUBJECT_ID
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258664,CONSENT
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258665,SUBJECT_SOURCE
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258666,SOURCE_SUBJECT_ID
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258667,SUBJECT_ID
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258668,SAMPLE_ID
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258669,SAMPLE_SOURCE
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258670,SOURCE_SAMPLE_ID
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258671,SAMPLE_USE
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258672,PLATE
"\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Subject Sample Mapping, Sample Aliases, and Sample Use\",phv00258673,WELL
\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Relationship and Twin Status\,phv00258675,Unrelated
\Genome-wide Association Study of Adiposity in Samoans\Sociodemography and Administration\Relationship and Twin Status\,phv00258676,Twin
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258683,Height
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258684,Weight
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258685,BMI
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258686,Obesity_Int
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258687,Obesity_Poly
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258688,OWOB_Binary_Poly
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258689,Arm_Circ
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258690,Abd_Circ
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258691,Hip_Circ
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258692,Calf_Circ
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258693,Tri_Skf
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258694,For_Skf
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258695,Sub_Skf
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258696,Abd_Skf
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258697,Sup_Skf
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258698,RESIST
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258699,REACT
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258700,CUFFSIZE
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258779,BIA_BF
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258780,SKF_BF
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Anthropometric Measurements\,phv00258781,BMI_BF
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Blood Pressure Measurements\,phv00258701,Systolic_BP
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Blood Pressure Measurements\,phv00258702,Systolic_BP_Av3
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Blood Pressure Measurements\,phv00258703,Diastolic_BP
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Blood Pressure Measurements\,phv00258704,Diastolic_BP_Av3
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Blood Pressure Measurements\,phv00258724,Heart_Rate
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258746,Hypertension
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258747,Hypertension_diagnosis
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258748,Hyp_diagnosis_years
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258756,Hypertension_13
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258757,Hypertension_All3
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258758,Diabetes_Status
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258759,Diabetes_Binary
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258760,Diabetes_diagnosis
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258761,Diabetes_diagnosis_years
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258766,Angina
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258767,Heart_attack
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258768,Stroke
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258769,Heart_disease_diagnosis
\Genome-wide Association Study of Adiposity in Samoans\Physical Observations\Diagnosis\,phv00258770,Hd_diagnosis_years
